CHROM	POS	FST	XPNSL	BASES	COVERED_BASES	at_THETA	at_PI	at_TD	me_THETA	me_PI	me_TD
seq_s_18363	1	0.0437	0.544641666666667	1000	415	0.00132123808310876	0.00106920781543864	-0.325394087357267	0.000757716102452275	0.000344234079173838	-1.15524134158067
seq_s_18363	1001	0.0026	-0.207329625	1000	286	0.00255624151277452	0.00270978040027524	0.113467689263159	0.00329844946696882	0.00288173365096442	-0.386752657811423
seq_s_18363	2001	0.0815	-1.34395220833333	1000	999	0.00420794711487257	0.00496771038797756	0.514850595092583	0.00661010593881039	0.00690800690800691	0.189078404267635
seq_s_18363	3001	0.0252	0.315901294736842	1000	616	0.00534071887490391	0.00314200164104767	-1.13236582348286	0.00561521754495883	0.00274725274725275	-2.01306592603274
seq_s_18363	4001	0.0373	0.132850635	1000	867	0.00400536804510287	0.00255105045576295	-1.00721473650936	0.00580303912374061	0.00423336755516686	-1.10973566678851
seq_s_18363	5001	0.0869	-0.0837063035714285	1000	946	0.00521651611037126	0.00559728183542983	0.212415467331491	0.00698043956963169	0.00800362428269405	0.614964014769368
seq_s_18363	6001	0.0508	0.3773394	1000	108	0.00846163278534158	0.0127682390054747	1.03428677381193	0.00873478284771373	0.00763125763125762	-0.386752657811427
seq_s_18363	7001	0.0362	0.493350514814815	1000	371	0.00985289855328184	0.0219722980864078	3.43871429730943	0.0169516001357248	0.0192233642368413	0.560205706406519
seq_s_18363	8001	0.0135	0.4312513375	1000	874	0.00334592710596573	0.00534499950823102	1.61143557100452	0.00431742127026583	0.00484069706037669	0.482687727995295
seq_s_18363	9001	0.0180	0.242960272727273	1000	417	0.00482130443596441	0.00424716898011133	-0.298552937658924	0.00527857380725146	0.00463804780351543	-0.447756620583476
seq_s_18363	10001	0.0314	0.2954168375	1000	762	0.00191885845840817	0.00248977126091759	0.691645337057452	0.0028886683433384	0.00265351446453809	-0.300383666132855
seq_s_18363	11001	0.1188	0.532902745652174	1000	797	0.00527445315904354	0.00708512043043239	0.978891162900385	0.00552362679453917	0.00625973775283688	0.539709164284925
seq_s_18363	12001	0.1071	0.608555466666666	1000	999	0.00548862667157292	0.00731749592707973	0.981467668518013	0.00692487288827755	0.0064020064020064	-0.317838870749698
seq_s_18363	13001	0.2031	-0.2131543	1000	1000	0.00255879775428729	0.00267467175401194	0.119225871735489	0.00283006964265925	0.00307692307692308	0.33473933138067
seq_s_18363	14001	0.0188	0.013609655	1000	360	0.00203079186848198	0.0027581391289169	0.676600160072044	0.00262043485431412	0.00277777777777778	0.183813331222324
seq_s_18363	15001	0.1099	0.869983	1000	502	0.00436903429872617	0.00863340488343956	2.49263844862017	0.00689038646951123	0.0058009719364301	-0.623161122674066
seq_s_18363	16001	0.1478	0.37337496	1000	1000	0.00328988282694081	0.00427886881382568	0.826850129241864	0.00408787837273003	0.00412087912087912	0.0324396329114829
seq_s_18363	17001	0.1112	0.849121111111111	1000	995	0.00330641490144805	0.00603116581673949	2.26666087584239	0.00379238813086666	0.00515765641393782	1.43372304000279
seq_s_18363	18001	0.1039	-0.27674665	1000	1000	0.00694530819020837	0.00547985635731136	-0.636418602758675	0.00754685238042466	0.00621978021978022	-0.744589610646743
seq_s_18363	19001	0.1004	-1.2959354	1000	358	0.00255267134306394	0.00310770255079862	0.441857755136991	0.00351343220690161	0.00457363865185094	0.994032278025214
seq_s_18363	20001	0.0118	-1.41202	1000	378	0.00193408749379236	0.00280344310195052	0.849135597832588	0.00332753632293856	0.00369207512064655	0.360879803055371
seq_s_18363	21001	0.0050	-0.7161938	1000	249	0.00293608462913057	0.0032692773112429	0.214379172189018	0.00505144068301517	0.00383953396001589	-0.790306515071615
seq_s_18363	22001	0.1741	-0.948347	1000	263	0.000694947787693453	0.00037933207685806	-0.492256044700504	0.00119563567497222	0.00167133246981156	0.842275108853901
seq_s_18363	23001	0.1570	-0.0728250769230769	1000	602	0.00394688785070418	0.0037183875541486	-0.15026079366458	0.00261172909067852	0.00266510897740133	0.0707630816081911
seq_s_18363	24001	0.1528	0.7168232	1000	708	0.00258151508705336	0.00417452054117106	1.51449342121242	0.00355313200584965	0.00375613087477494	0.215439651501864
seq_s_18363	25001	0.1420	-0.2865814295	1000	999	0.00365908444771528	0.00427731064023298	0.472339179732334	0.0040919703430731	0.00482900482900483	0.723778107412812
seq_s_18363	26001	0.0975	-0.522295058333333	1000	999	0.0020124964462434	0.00267937110042372	0.83076965703798	0.00283290254520445	0.0036960036960037	1.16921601310119
seq_s_18363	27001	0.1783	-0.0879728	1000	298	0.00122665280646563	0.000844292440005133	-0.454414532454453	0.00105520866616676	0.00165941441109226	1.21218556263808
seq_s_18363	28001	0.0759	0.7782116875	1000	409	0.00714997626067005	0.00558525094255921	-0.590247841469215	0.00538182219467936	0.00360031166877132	-1.22146463144926
seq_s_18363	29001	0.0874	0.164234914651163	1000	963	0.00797133256787319	0.00943599059022932	0.559075718778651	0.0104490860234332	0.00885511165884998	-0.656737523472868
